,OR,p_value,OR_errlow,OR_errhigh,asymmetric_err,BenjaminiHochberg,correctedP
collagen-containing extracellular matrix,0.3327308203308762,8.701572701229875e-07,0.18484014861071354,0.5540606632369306,"[0.14789067172016265, 0.2213298429060544]",True,6.803047748234266e-06
trans-Golgi network,0.4193309481659225,0.0032763814174266064,0.19922833260284387,0.7808962288612573,"[0.2201026155630786, 0.36156528069533483]",True,0.009392293396622939
mitochondrial matrix,0.42414745161867007,0.0032416089787143734,0.20150120248395514,0.7899480482388826,"[0.22264624913471492, 0.3658005966202126]",True,0.009392293396622939
receptor complex,0.4605146557486441,0.0001363556507192922,0.28258010502255065,0.711577757163107,"[0.17793455072609343, 0.2510631014144629]",True,0.0006897991742270077
basolateral plasma membrane,0.48586576915407864,0.014317977747130119,0.2401057025613745,0.8811307057324185,"[0.24576006659270414, 0.39526493657833983]",True,0.029317763958409293
extracellular matrix,0.5180953661497802,9.214302291760194e-05,0.3511493010190681,0.7393570628908538,"[0.16694606513071214, 0.22126169674107354]",True,0.0004952687481821104
endosome membrane,0.529094248991653,0.0023583498662472866,0.32441953307211585,0.8182977131369429,"[0.20467471591953718, 0.28920346414528986]",True,0.007243503160616666
external side of plasma membrane,0.5319118353862176,0.017617236361273027,0.2878494897918588,0.9042866425901984,"[0.24406234559435874, 0.37237480720398086]",True,0.03366849615709956
focal adhesion,0.5343260433371735,0.0060977263615674855,0.3135969228415327,0.8548592484162005,"[0.2207291204956408, 0.32053320507902705]",True,0.015041132354778861
endoplasmic reticulum lumen,0.555448496424806,0.019707557196140608,0.30767494807069856,0.9283583650584114,"[0.24777354835410742, 0.3729098686336054]",True,0.03606063657166154
glutamatergic synapse,0.5852991984638509,0.020194905138238926,0.34878673961368006,0.9257805443839318,"[0.23651245885017086, 0.34048134592008084]",True,0.036182538372678076
endosome,0.5862447161693024,0.0001591077694723778,0.4280319253918805,0.7860673760172987,"[0.1582127907774219, 0.1998226598479963]",True,0.0007601815652569161
apical plasma membrane,0.5957526528437985,0.01622051846936065,0.36502729492265595,0.9222148115756562,"[0.23072535792114257, 0.3264621587318577]",True,0.03233042747527622
extracellular space,0.6159821752103851,2.5672090683338935e-08,0.5107869208296683,0.7380473534251726,"[0.10519525438071686, 0.12206517821478746]",True,3.679666331278581e-07
cell surface,0.6168646776700101,0.0009345869495557032,0.44712949853521144,0.8323280177689876,"[0.16973517913479863, 0.2154633400989775]",True,0.00334893656924127
extracellular exosome,0.6198961477171315,9.995753113434512e-06,0.48980524107650253,0.7757876230317401,"[0.130090906640629, 0.15589147531460856]",True,5.730898451702453e-05
early endosome,0.6265308249649948,0.03217038573799706,0.38854712131552593,0.9608460460471248,"[0.23798370364946886, 0.33431522108212997]",False,0.05320486872053361
Golgi membrane,0.6282999543159771,0.01234486773467278,0.41652216701490397,0.9133684640067915,"[0.2117777873010731, 0.28506850969081443]",True,0.026541465629546478
microtubule,0.6312234217939982,0.008909972072449208,0.42740354724007423,0.9018465843159679,"[0.20381987455392392, 0.2706231625219697]",True,0.020709664817044105
lysosome,0.6367948564719055,0.010724160872696672,0.43115512749803714,0.909858715416345,"[0.20563972897386834, 0.2730638589444395]",True,0.024257020447154068
spindle,0.6373874129064339,0.016541148940839,0.4192028290342978,0.9326225574407582,"[0.21818458387213607, 0.2952351445343243]",True,0.03233042747527622
cytoplasmic vesicle membrane,0.6455730568437698,0.0005791751194949848,0.4898182790459618,0.8373945816684747,"[0.15575477779780794, 0.19182152482470494]",True,0.0022640481943894857
postsynaptic density,0.6533597788593328,0.06271847800930347,0.40007395159677994,1.0121696912841391,"[0.2532858272625529, 0.3588099124248063]",False,0.09806889288727451
cytoplasmic vesicle,0.6580951979532866,4.052869447038202e-06,0.5427181996835431,0.7924822346302357,"[0.11537699826974357, 0.13438703667694907]",True,2.6236598013918866e-05
adherens junction,0.6617385089392737,0.1573273232160901,0.34808439501671457,1.1496974949233818,"[0.3136541139225591, 0.48795898598410814]",False,0.2114085905716211
extracellular region,0.6656750220711223,9.043661238781627e-08,0.567498639681636,0.7775857695825606,"[0.09817638238948623, 0.11191074751143837]",True,9.72193583169025e-07
lysosomal membrane,0.6854545176213901,0.11910206903014428,0.413987365558498,1.073547963394435,"[0.27146715206289207, 0.38809344577304483]",False,0.16520609575149048
actin cytoskeleton,0.6897802850668278,0.03445424404394393,0.47265873141788584,0.9759949212256701,"[0.21712155364894192, 0.28621463615884235]",False,0.05590688656187128
